,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.56,3.9,5.47,0.2,0.8,1.36,45.15,50.27,35.78,15.75,20.61,4.08,8.48,0.26,inf,inf
2021,0.26,155.96,8.14,49.2,69.96,23.23,2.76,5.71,-6.54,50.52,71.83,0.17,3.22,inf,0.22,1.32,1.88,0.34,0.66,6.09,48.2,47.22,33.21,14.9,5.22,1.77,3.24,0.12,inf,inf
2022,3.46,27.36,3.51,inf,12.69,4.27,1.09,4.53,-1.67,inf,16.44,0.43,3.35,0.18,1.04,inf,3.75,0.31,0.69,3.28,47.03,inf,33.66,15.61,12.83,3.98,9.12,0.26,inf,inf
2023,3.53,26.8,3.44,8.71,12.43,4.18,1.07,4.44,-1.63,11.33,16.18,0.43,3.35,0.17,1.04,2.63,3.75,0.31,0.69,3.28,47.03,48.07,33.66,15.61,12.83,3.98,9.12,0.26,inf,inf
