,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.09,0.4,0.56,0.26,0.74,1.39,14.47,6.33,4.46,2.76,10.14,2.65,5.51,0.96,inf,inf
2021,1.32,13.66,2.51,9.14,10.97,0.87,0.78,2.19,-2.34,9.01,10.81,1.38,7.52,inf,-0.04,-0.13,-0.16,0.31,0.69,2.16,17.65,9.5,7.92,6.35,18.37,5.73,11.19,0.9,inf,inf
2022,2.69,17.77,2.02,6.69,8.99,0.53,0.48,1.91,-1.18,8.6,11.55,0.91,7.97,-0.52,0.58,1.91,2.56,0.24,0.76,1.75,15.97,7.89,5.87,2.97,11.39,2.72,8.23,0.91,inf,inf
2023,2.78,17.22,1.96,6.48,8.71,0.51,0.47,1.85,-1.14,8.39,11.28,0.91,7.97,-0.5,0.58,1.91,2.56,0.24,0.76,1.75,15.97,7.89,5.87,2.97,11.39,2.72,8.23,0.91,inf,inf
