,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.48,1.99,3.98,0.32,0.67,1.71,10.72,15.94,7.96,-17.15,-26.04,-8.28,-5.78,0.48,inf,inf
2021,inf,10.96,1.81,4.4,6.02,0.97,0.68,3.55,-1.08,5.14,7.02,1.25,7.55,inf,0.3,0.74,1.01,0.38,0.61,2.06,19.28,21.96,16.07,8.82,16.51,6.21,16.96,0.7,inf,inf
2022,3.32,7.93,1.29,4.08,6.08,0.78,0.56,3.31,-0.86,5.15,7.68,1.46,8.93,0.47,0.36,1.07,1.6,0.42,0.57,1.95,18.69,19.13,12.83,9.83,17.03,7.07,11.33,0.72,inf,inf
2023,5.06,inf,0.85,10.46,inf,0.37,0.37,2.17,-0.56,14.65,inf,0.0,8.93,inf,0.34,4.19,inf,0.43,0.57,1.95,1.39,3.52,0.0,0.0,0.0,0.0,inf,1.0,inf,inf
