,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.51,3.97,5.34,0.24,0.76,1.03,12.48,4.91,3.65,3.1,8.02,1.91,0.65,0.62,inf,inf
2021,inf,15.4,1.25,4.4,5.61,0.28,0.27,3.35,-1.33,5.93,7.56,0.69,8.54,inf,0.43,1.53,1.95,0.22,0.78,1.11,13.71,6.29,4.94,1.8,8.11,1.75,10.66,0.97,inf,inf
2022,1.7,-25.63,1.34,3.24,3.6,0.16,0.21,9.03,-1.08,5.76,6.41,-0.38,7.35,-0.02,1.05,2.52,2.81,0.16,0.84,1.03,12.49,4.86,4.37,-0.61,-5.23,-0.84,15.21,1.37,inf,inf
2023,2.1,-20.82,1.09,2.63,2.93,0.13,0.17,7.33,-0.88,5.15,5.73,-0.38,7.35,-0.02,1.05,2.52,2.81,0.16,0.84,1.03,12.49,4.86,4.37,-0.61,-5.23,-0.84,15.21,1.37,inf,inf
