,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2021,2.09,14.55,1.35,inf,29.41,2.79,0.46,10.35,-0.57,inf,inf,0.76,8.2,inf,1.4,inf,inf,272.08,659.44,1.29,14.31,inf,9.47,19.14,0.01,3.16,0.0,0.17,inf,inf
2022,1.11,38.84,1.04,inf,8.33,2.04,0.31,1.98,-0.41,inf,18.52,0.25,9.26,-0.65,1.62,inf,10.19,0.23,0.71,2.6,31.84,inf,24.53,5.26,3.41,0.79,3.82,0.15,inf,inf
2023,1.08,39.97,1.07,inf,8.57,2.1,0.32,2.04,-0.42,inf,18.76,0.25,9.26,inf,1.28,inf,10.19,0.29,0.71,2.6,31.84,inf,24.53,5.26,2.69,0.79,3.82,0.15,inf,inf
