,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.1,6.69,43.09,0.12,0.8,1.4,31.23,6.21,0.96,-7.75,-39.25,-4.65,-2.1,0.6,inf,inf
2021,inf,-118.82,3.01,18.32,31.45,2.06,0.92,3.32,-1.76,19.69,33.79,-0.09,3.74,inf,0.22,1.37,2.35,0.31,0.62,2.41,32.15,11.26,6.56,-1.74,-2.53,-0.78,1.95,0.45,inf,inf
2022,inf,-312.12,1.48,5.73,8.46,0.82,0.41,4.84,-0.58,10.33,15.24,-0.02,4.07,3.28,1.19,4.6,6.78,0.28,0.65,1.42,34.77,14.3,9.69,-0.26,-0.47,-0.13,5.16,0.5,inf,inf
2023,inf,-420.82,2.0,7.73,11.41,1.11,0.55,6.53,-0.78,12.33,18.19,-0.02,4.07,4.42,1.19,4.6,6.78,0.28,0.65,1.42,34.77,14.3,9.69,-0.26,-0.47,-0.13,5.16,0.5,inf,inf
