,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-1.21,76.99,inf,-2.77,0.97,0.08,-1.76,-0.1,inf,3.04,-0.99,0.02,0.06,-213.86,inf,7.68,0.0,1.0,1.08,-17.99,inf,-35.06,-80.05,inf,-6.4,-48.86,0.08,inf,inf
2015,inf,-0.33,-0.35,inf,-0.47,1.71,0.03,0.76,-0.04,inf,0.08,-1.99,-1.85,0.0,inf,inf,1.65,-0.09,1.09,1.38,-259.6,inf,-362.47,-522.56,-107.71,-9.22,-634.99,0.02,inf,inf
2016,inf,-9.84,-5.33,-18.44,-13.75,47.54,0.87,7.72,-1.02,-21.24,-15.83,-2.29,-4.22,-0.66,inf,0.24,0.18,-0.16,1.16,4.54,-184.86,-257.8,-345.77,-483.25,-54.17,-8.85,77.34,0.02,255.3,inf
2017,inf,-10.68,4.42,-17.27,-12.31,35.54,0.76,19.21,-0.85,-28.05,-19.99,-2.06,4.98,1.07,0.09,-0.34,-0.24,0.17,0.83,1.59,-163.66,-205.71,-288.66,-332.66,-41.34,-7.12,-25.15,0.02,99.97,inf
2018,inf,-4.99,3.03,inf,-5.92,5.62,0.31,7.18,-0.35,inf,inf,-4.53,7.47,0.64,0.26,inf,-0.52,0.1,0.9,1.81,-59.22,inf,-94.91,-112.62,-60.7,-6.27,-30.25,0.06,35.34,inf
2019,inf,-6.07,0.88,20.78,-11.73,7.06,0.34,1.53,-0.46,53.16,-30.02,-4.79,33.2,inf,-0.35,-8.32,4.7,0.38,0.62,5.04,-104.6,33.98,-60.17,-116.29,-14.42,-5.53,-6.4,0.05,6.86,inf
2020,inf,-19.73,1.35,14.29,-29.21,7.85,0.49,2.06,-0.72,28.83,-58.97,-1.57,22.89,inf,-0.45,-4.74,9.7,0.37,0.63,4.37,-71.84,54.98,-26.88,-39.81,-6.84,-2.5,-3.93,0.06,42.7,inf
2021,inf,-7.76,0.69,5.08,-14.7,3.44,0.24,0.87,-0.37,8.12,-23.48,-1.87,21.08,inf,-0.62,-4.58,13.24,0.35,0.65,4.5,-80.49,67.8,-23.43,-44.4,-8.86,-3.09,-4.08,0.07,38.5,inf
2022,inf,-6.87,0.53,4.16,-23.24,2.52,0.22,0.73,-0.35,1.23,-6.87,-1.48,19.26,-9.75,-0.61,-4.84,27.08,0.41,0.59,4.75,-53.9,60.62,-10.84,-36.72,-7.68,-3.16,-2.08,0.09,36.54,inf
2023,inf,-8.08,0.62,4.9,-27.37,2.97,0.26,0.86,-0.41,1.71,-9.57,-1.48,19.26,-11.48,-0.61,-4.84,27.08,0.41,0.59,4.75,-53.9,60.62,-10.84,-36.72,-7.68,-3.16,-2.08,0.09,36.54,inf
