,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.79,2.43,3.72,0.13,0.86,1.12,4.84,3.21,2.1,1.11,25.59,3.42,10.59,3.06,inf,inf
2021,0.25,21.2,3.26,5.3,10.82,0.35,0.64,8.27,-1.25,5.73,11.71,0.3,1.98,inf,1.03,0.43,0.89,0.17,0.82,1.12,6.12,6.59,3.23,1.65,59.12,10.03,38.14,6.09,inf,inf
2022,4.56,29.61,1.74,1.95,8.53,0.16,0.39,5.84,-0.73,3.19,13.92,0.13,2.15,-0.67,1.1,1.23,5.39,0.22,0.78,1.16,4.82,8.28,1.9,0.55,5.87,1.3,8.04,2.39,inf,inf
2023,8.33,306.15,1.39,1.55,8.47,0.12,0.28,3.76,-0.53,3.62,19.72,0.01,2.05,-3.15,1.85,2.06,11.26,0.2,0.79,1.19,4.44,7.77,1.43,0.04,0.45,0.09,4.11,2.33,inf,inf
