,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.68,1.84,2.9,0.21,0.55,1.21,38.98,62.66,39.62,27.08,16.11,3.39,-4.54,0.13,inf,inf
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.68,2.68,5.27,0.23,0.54,1.47,23.35,43.33,22.02,2.24,1.32,0.3,2.16,0.13,inf,inf
2022,0.68,5.51,0.97,7.47,10.59,2.67,0.46,7.12,-0.57,8.81,12.49,2.67,15.25,inf,0.17,1.34,1.9,0.47,0.53,1.49,20.72,35.74,25.22,48.49,17.53,8.28,4.81,0.17,inf,inf
2023,0.68,5.49,0.96,inf,10.55,2.66,0.45,7.09,-0.56,inf,12.45,2.67,15.25,0.0,0.17,inf,1.9,0.47,0.53,1.49,20.72,inf,25.22,48.49,17.53,8.28,4.81,0.17,inf,inf
