,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.79,5.14,6.36,0.16,0.83,1.37,25.6,15.98,12.92,2.59,8.8,1.44,7.41,0.56,inf,inf
2021,inf,-62.48,3.18,22.44,29.98,3.16,1.01,13.47,-1.35,29.71,39.69,-0.08,1.63,inf,1.03,7.27,9.72,0.32,0.66,1.42,25.57,14.06,10.53,-5.05,-5.09,-1.62,2.49,0.32,inf,inf
2022,inf,-4.92,0.5,2.31,3.02,0.31,0.12,1.3,-0.18,10.12,13.27,-0.16,1.54,0.01,1.71,7.81,10.24,0.25,0.74,1.46,24.5,13.58,10.36,-6.37,-10.27,-2.53,4.53,0.4,inf,inf
2023,inf,-6.44,0.66,3.02,3.96,0.41,0.16,1.7,-0.23,10.83,14.21,-0.16,1.54,0.01,1.71,7.81,10.24,0.25,0.74,1.46,24.5,13.58,10.36,-6.37,-10.27,-2.53,4.53,0.4,inf,inf
