,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.69,inf,1.97,0.46,0.53,1.66,36.54,inf,18.95,15.41,28.57,13.17,17.16,0.85,inf,inf
2021,0.68,19.26,4.29,13.45,14.44,2.65,2.44,7.02,-8.46,14.49,15.56,0.75,3.36,inf,0.33,1.04,1.12,0.57,0.43,1.95,36.49,19.69,18.34,13.75,22.3,12.66,16.0,0.92,inf,inf
2022,2.81,12.4,3.2,9.44,10.26,2.18,1.94,5.24,-6.0,10.29,11.18,1.05,4.06,0.31,0.29,0.85,0.92,0.6,0.39,2.21,38.35,23.15,21.3,17.62,25.97,15.65,18.91,0.89,inf,inf
2023,3.15,11.05,2.86,8.42,9.15,1.95,1.73,4.67,-5.35,9.26,10.07,1.05,4.06,0.28,0.29,0.85,0.92,0.61,0.39,2.21,38.35,23.15,21.3,17.62,25.85,15.65,18.91,0.89,inf,inf
