,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.15,5.97,6.24,0.36,0.7,1.49,56.41,348.97,334.21,251.04,13.89,5.0,6.32,0.02,inf,inf
2022,inf,-542.68,1.15,5.97,10.11,2.45,0.35,-43.95,-0.43,12.99,21.98,-0.02,8.32,inf,1.36,7.01,11.87,0.31,0.69,0.96,27.43,41.09,24.27,-0.45,-0.21,-0.07,4.03,0.14,inf,inf
2023,inf,-539.86,1.15,5.94,10.05,2.44,0.35,-43.72,-0.43,12.95,21.93,-0.02,8.32,inf,1.36,7.01,11.87,0.31,0.69,0.96,27.43,41.09,24.27,-0.45,-0.21,-0.07,4.03,0.14,inf,inf
