,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.04,-0.12,-0.2,0.06,0.94,1.03,38.54,35.0,21.12,15.56,13.16,0.84,9.25,0.05,inf,inf
2021,inf,7.53,1.08,3.88,6.46,1.26,0.06,2.63,-1.75,inf,inf,0.26,1.78,inf,0.42,1.5,2.5,0.06,0.94,1.03,38.35,32.35,19.43,16.69,14.34,0.81,6.86,0.05,inf,inf
2022,8.39,7.55,1.24,4.75,7.26,1.34,0.08,3.13,-1.96,inf,inf,0.32,1.94,0.07,0.17,0.65,0.99,0.07,0.93,1.03,41.43,28.14,18.41,17.71,16.41,1.07,10.57,0.06,inf,inf
2023,2.05,7.55,1.24,4.75,7.26,1.34,0.08,3.13,-1.96,inf,inf,0.32,1.94,0.07,0.17,0.65,0.99,0.07,0.93,1.03,41.43,28.14,18.41,17.71,16.41,1.07,10.57,0.06,inf,inf
