,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.05,-0.68,-0.71,0.86,0.14,5.13,92.23,95.93,92.81,70.51,5.66,4.88,4.51,0.07,inf,inf
2021,inf,56.89,3.11,26.8,28.74,20.75,2.14,234.44,-2.36,27.41,29.39,0.4,7.23,inf,0.07,0.61,0.65,0.69,0.31,1.11,93.15,77.41,72.19,36.47,5.46,3.77,6.86,0.1,inf,inf
2022,0.71,20.17,3.52,44.69,49.3,29.12,2.84,-56.12,-3.0,45.13,49.8,1.43,8.17,0.08,0.04,0.45,0.49,0.81,0.19,0.51,92.85,65.16,59.06,144.37,17.45,14.07,-4.37,0.1,inf,inf
2023,5.91,18.51,3.23,41.02,45.26,26.73,2.61,-51.51,-2.75,41.47,45.75,1.43,8.17,0.07,0.04,0.45,0.49,0.81,0.19,0.51,92.85,65.16,59.06,144.37,17.45,14.07,-4.37,0.1,inf,inf
