,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.07,1.79,2.57,0.28,0.72,1.18,67.48,40.91,28.44,16.05,23.45,6.63,10.97,0.41,inf,inf
2021,inf,61.85,1.81,12.87,23.2,4.57,0.74,6.34,-0.99,14.9,26.86,0.3,10.13,inf,0.28,2.03,3.65,0.41,0.59,1.85,56.91,35.51,19.7,7.39,2.93,1.19,4.09,0.16,inf,inf
2022,0.18,15.06,0.76,2.74,4.0,1.1,0.29,8.52,-0.35,5.01,7.3,0.53,10.55,0.11,0.63,2.26,3.3,0.38,0.61,1.23,57.26,40.01,27.45,7.29,5.03,1.92,9.56,0.26,inf,inf
2023,0.16,22.39,1.13,4.08,5.94,1.63,0.43,12.67,-0.52,6.34,9.24,0.4,7.99,0.17,0.63,2.26,3.3,0.38,0.61,1.23,57.26,40.01,27.45,7.29,5.03,1.92,9.56,0.26,inf,inf
