,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.25,inf,-0.17,0.63,0.37,1.97,84.27,inf,44.99,32.78,104.7,65.73,85.79,2.0,inf,inf
2021,inf,inf,2.75,inf,-62.82,18.39,2.6,5.3,-5.62,inf,-51.24,0.0,2.18,inf,-0.51,inf,11.58,0.95,0.05,11.99,61.12,inf,-29.27,1.31,0.2,0.19,-7.28,0.14,inf,inf
2022,0.01,-7.56,1.17,inf,-6.85,7.54,1.07,3.89,-1.66,inf,-4.85,-0.29,1.9,0.0,-0.34,inf,2.0,0.91,0.09,4.23,47.3,inf,-110.13,-99.78,-15.45,-14.09,-19.2,0.14,inf,inf
2023,0.02,-3.24,0.5,inf,-2.93,3.23,0.46,1.66,-0.71,inf,-0.93,-0.29,1.9,0.0,-0.34,inf,2.0,0.91,0.09,4.23,47.3,inf,-110.13,-99.78,-15.42,-14.09,-19.2,0.14,inf,inf
