,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.29,-0.17,-0.31,0.14,0.86,1.02,33.28,30.6,17.17,9.83,54.31,7.75,78.95,0.79,inf,inf
2021,inf,15.2,1.75,4.05,8.19,1.03,0.74,3.68,-1.83,3.91,7.9,1.13,9.79,inf,-0.06,-0.14,-0.29,0.42,0.58,1.51,27.65,25.49,12.61,6.79,11.51,4.86,17.9,0.71,inf,inf
2022,2.95,16.44,0.59,1.48,4.29,0.36,0.23,0.75,-0.54,0.89,2.57,0.36,10.02,-0.24,-0.24,-0.59,-1.72,0.4,0.6,2.2,23.13,24.03,8.29,2.16,3.58,1.41,11.35,0.65,inf,inf
2023,2.92,16.61,0.59,1.5,4.33,0.36,0.23,0.76,-0.54,0.9,2.62,0.36,10.02,-0.24,-0.24,-0.59,-1.72,0.4,0.6,2.2,23.13,24.03,8.29,2.16,3.58,1.41,11.35,0.65,inf,inf
