,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.95,0.82,1.26,0.26,0.74,0.71,47.44,47.28,30.87,17.64,42.94,11.07,22.95,0.63,inf,inf
2021,1.26,29.67,2.49,10.86,18.43,5.22,1.48,4.51,-3.0,9.02,15.3,0.22,2.65,inf,-0.42,-1.85,-3.13,0.59,0.41,2.82,49.1,48.03,28.31,17.59,8.4,4.98,7.68,0.28,inf,inf
2022,2.16,10.84,1.42,4.19,7.77,2.08,0.74,4.36,-1.16,3.64,6.74,0.36,2.75,0.18,-0.19,-0.56,-1.03,0.52,0.48,1.85,46.54,49.64,26.79,19.19,13.06,6.78,10.25,0.35,inf,inf
2023,2.51,9.31,1.22,3.6,6.67,1.79,0.63,3.75,-1.0,3.04,5.64,0.36,2.75,0.15,-0.19,-0.56,-1.03,0.52,0.48,1.85,46.54,49.64,26.79,19.19,13.06,6.78,10.25,0.35,inf,inf
