,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.33,inf,0.76,0.06,0.94,1.45,50.36,inf,17.65,5.42,134.71,8.6,31.74,1.59,inf,inf
2021,inf,-22.7,2.18,inf,-21.91,3.7,1.71,2.28,-16.5,inf,-13.61,-0.4,4.14,inf,-0.82,inf,8.3,0.79,0.21,6.22,37.43,inf,-16.87,-16.29,-9.59,-7.54,-10.09,0.46,inf,inf
2022,inf,-12.22,1.43,inf,-7.74,2.16,1.15,1.93,-4.48,inf,-4.47,-0.46,3.94,-0.05,-0.6,inf,3.27,0.8,0.2,5.03,29.74,inf,-27.91,-17.67,-11.69,-9.39,-17.65,0.53,inf,inf
2023,inf,-12.29,1.44,inf,-7.78,2.17,1.15,1.94,-4.5,inf,-4.51,-0.46,3.94,-0.05,-0.6,inf,3.27,0.8,0.2,5.03,29.74,inf,-27.91,-17.67,-11.69,-9.39,-17.65,0.53,inf,inf
