,papel,nome_comercial
738,PTBL3,PORTOBELLO S/A
739,PTBL4,PORTOBELLO S/A
740,PTIP3,IPIRANGA PETROQUIMICA SA
741,PTIP4,IPIRANGA PETROQUIMICA SA
742,PTNT3,PETTENATI
743,PTNT4,PETTENATI
744,PTPA3,PETROPAR SA
745,PTPA4,PETROPAR SA
746,PTQS4,PETROQUISA
747,QGEP3,ENAUTA PART
748,QUAL3,QUALICORP
749,RADL3,RAIADROGASIL
750,RAIA3,RAIA
751,RAIL3,RUMO S.A.
752,RAIZ4,RAIZEN
753,RANI3,CELULOSE IRANI
754,RANI4,CELULOSE IRANI
755,RAPT3,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES
756,RAPT4,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES
757,RCSL3,RECRUSUL
758,RCSL4,RECRUSUL
759,RCTB31,TELEBRAS
760,RCTB33,TELEBRAS
761,RCTB41,TELEBRAS
762,RCTB42,TELEBRAS
763,RDCD3,Redecard
764,RDNI3,RNI
765,RDOR3,REDE D OR
766,RDTR3,REDENTOR
767,RECV3,PETRORECONCA
768,REDE3,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.
769,REDE4,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.
770,REEM4,RHEEM EMPRS
771,RENT3,LOCALIZA RENT A CAR
772,REPA3,ELECTROLUX
773,REPA4,ELECTROLUX
774,RGEG3,RGE - RIO GRANDE ENERGIA
775,RHDS3,M G POLIEST
776,RHDS4,M G POLIEST
777,RIPI3,REFINARIA DE PETRÓLEO IPIRANGA SA
778,RIPI4,REFINARIA DE PETRÓLEO IPIRANGA SA
779,RJCP3,RJCP EQUITY
780,RLOG3,COSAN LOG
781,RNAR3,POMIFRUTAS
782,RNEW11,RENOVA
783,RNEW3,RENOVA
784,RNEW4,RENOVA
785,RNPT3,RENNER PARTICIPAÇÕES S/A
786,RNPT4,RENNER PARTICIPAÇÕES S/A
787,ROMI3,ROMI
788,ROMI4,ROMI
789,RPAD3,ALFA HOLDINGS
790,RPAD5,ALFA HOLDINGS
791,RPAD6,ALFA HOLDINGS
792,RPMG3,REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A
793,RPMG4,REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A
794,RPSA4,RIPASA
795,RRRP3,3R PETROLEUM
796,RSID3,ROSSI RESIDENCIAL
797,RSIP3,RASIP AGRO PASTORIL
798,RSIP4,RASIP AGRO PASTORIL
799,RSUL4,METALURGICA RIOSULENSE S/A
800,RUMO3,RUMO LOG
801,SALM3,SEARA ALIMENTOS
802,SALM4,SEARA ALIMENTOS
803,SANB11,SANTANDER
804,SANB3,SANTANDER
805,SANB4,SANTANDER
806,SAPR11,SANEPAR
807,SAPR3,SANEPAR
808,SAPR4,SANEPAR
809,SASG3,SUL AMERICA SEGUROS
810,SBFG3,GRUPO SBF
811,SBSP3,SABESP
812,SCAR3,SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.
813,SCAR4,SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.
814,SCLO3,SCHLOSSER TECIDOS
815,SCLO4,SCHLOSSER TECIDOS
816,SDIA3,SADIA
817,SDIA4,SADIA
818,SEBB11,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A
819,SEBB3,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A
820,SEBB4,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A
821,SEDU3,SOMOS EDUCA
822,SEER3,SER EDUCA
823,SEMP3,SEMP TOSHIBA
824,SEQL3,SEQUOIA LOG
825,SFSA3,Sofisa
826,SFSA4,Sofisa
827,SGAS3,WLM
828,SGAS4,WLM
829,SGEN3,SERGEN
830,SGEN4,SERGEN
831,SGPS3,Springs
832,SHOW3,TIME FOR FUN
833,SHUL4,SCHULZ
834,SIMH3,SIMPAR
835,SJOS3,SÃO JOSÉ
836,SJOS4,SÃO JOSÉ
837,SLCE3,SLC Agricola
838,SLCP3,SULACAP
839,SLED3,EDITORA SARAIVA
840,SLED4,EDITORA SARAIVA
841,SMFT3,SMART FIT
842,SMLE3,SMILES
843,SMLS3,SMILES
844,SMTO3,SAO MARTINHO
845,SNSL3,SINQIA
846,SNSY5,SANSUY S.A. INDÚSTRIA DE PLÁSTICOS
847,SOJA3,BOA SAFRA
848,SOMA3,GRUPO SOMA
849,SOND3,SONDOTECNICA S/A.
850,SOND5,SONDOTECNICA S/A.
851,SOND6,SONDOTECNICA S/A.
852,SPRI3,SPRINGER
853,SPRI5,SPRINGER
854,SPRI6,SPRINGER
855,SQIA3,SINQIA
856,SSBR3,ALIANSCSONAE
857,STBP11,SBPAR
858,STBP3,SBPAR
859,STLB3,ADVANCED-DH
860,STRP4,STAROUP
861,SUBA3,
862,SULA11,Sul America
863,SULA3,Sul America
864,SULA4,Sul America
865,SULT3,CONSTRUTORA SULTEPA S/A
866,SULT4,CONSTRUTORA SULTEPA S/A
867,SUZA4,SUZANO HOLDING S.A.
868,SUZB3,Suzano Papel
869,SUZB5,Suzano Papel
870,SUZB6,Suzano Papel
871,SWET3,ADVANCED-DH
872,SYNE3,SYN PROP TEC
873,SZPQ4,SUZANO PETROQUIMICA S.A.
874,TAEE11,TAESA
875,TAEE3,TAESA
876,TAEE4,TAESA
877,TAMM3,TAM
878,TAMM4,TAM
879,TANC4,TAM
880,TARP11,TARPON
881,TASA3,TAURUS ARMAS
882,TASA4,TAURUS ARMAS
883,TBLE3, ENGIE BRASIL
884,TBLE5, ENGIE BRASIL
885,TBLE6, ENGIE BRASIL
886,TCNO3,TECNOSOLO S/A
887,TCNO4,TECNOSOLO S/A
888,TCOC3,TELE CENTRO OESTE CELULAR PARTICIP. S/A
889,TCOC4,TELE CENTRO OESTE CELULAR PARTICIP. S/A
890,TCSA3,TECNISA
891,TCSL4,TIM PARTICIPAÇÕES S.A.
892,TDBH3,TELEFÔNICA EMPRESAS S.A
893,TDBH4,TELEFÔNICA EMPRESAS S.A
894,TECN3,TECHNOS
895,TEFC11,TELEFÓNICA
896,TEKA3,TEKA S.A.
897,TEKA4,TEKA S.A.
898,TELB3,TELEBRAS
899,TELB4,TELEBRAS
900,TEMP3,TEMPO PART
901,TEND3,Tenda
902,TENE5,TECBLU
903,TENE7,TECBLU
904,TERI3,TEREOS
905,TESA3,TERRA SANTA
906,TFCO4,TRACK FIELD
907,TGMA3,Tegma
908,TIBR3,CRISTAL
909,TIBR5,CRISTAL
910,TIBR6,CRISTAL
911,TIET11,AES TIETE E
912,TIET3,AES TIETE E
913,TIET4,AES TIETE E
914,TIMP3,TIM PARTICIPAÇÕES S.A.
915,TIMS3,TIM
916,TKNO4,TEKNO
917,TLCP3,TELE LESTE CELULAR PARTICIPAÇÕES SA
918,TLCP4,TELE LESTE CELULAR PARTICIPAÇÕES SA
919,TMAR3,TELEMAR
920,TMAR5,TELEMAR
921,TMAR6,TELEMAR
922,TMCP3,TELEMIG CELULAR PARTICIPAÇÕES S.A.
923,TMCP4,TELEMIG CELULAR PARTICIPAÇÕES S.A.
924,TMGC11,TELEMIG CELULAR
925,TMGC12,TELEMIG CELULAR
926,TMGC13,TELEMIG CELULAR
927,TMGC3,TELEMIG CELULAR
928,TMGC7,TELEMIG CELULAR
929,TNCP3,AMAZÔNIA CELULAR
930,TNCP4,AMAZÔNIA CELULAR
931,TNEP3,TELE NORDESTE CELULAR PARTICIPAÇÕES S.A.
932,TNEP4,TELE NORDESTE CELULAR PARTICIPAÇÕES S.A.
933,TNLP3,TELEMAR
934,TNLP4,TELEMAR
935,TOTS3,TOTVS
936,TOYB3,TEC TOY
937,TOYB4,TEC TOY
938,TPIS3,TRIUNFO PARTICIPACOES SA
939,TPRC3,TIM PARTICIPAÇÕES S.A.
940,TPRC6,TIM PARTICIPAÇÕES S.A.
941,TRAD3,TC
942,TRFO3,TRAFO
943,TRFO4,TRAFO
944,TRIS3,Trisul
945,TROR3,TRORION
946,TROR4,TRORION
947,TRPL3,TRANSMISSÃO PAULISTA
948,TRPL4,TRANSMISSÃO PAULISTA
949,TRPN3,TARPON INV
950,TSEP3,TELE SUDESTE CELULAR PART SA
951,TSEP4,TELE SUDESTE CELULAR PART SA
952,TSPP3,VIVO PARTICIPAÇÕES
953,TSPP4,VIVO PARTICIPAÇÕES
954,TTEN3,3TENTOS
955,TUPY3,TUPY
956,TUPY4,TUPY
957,TVIT3,TIVIT
958,TXRX3,RENAUX
959,TXRX4,RENAUX
960,UBBR11,UNIBANCO SA
961,UBBR3,UNIBANCO SA
962,UBBR4,UNIBANCO SA
963,UCAS3,UNICASA
964,UCOP4,USINA COSTA PINTO S/A AÇÚCAR E ÁLCOOL
965,UGPA3,ULTRAPAR PARTICIPAÇÕES SA
966,UGPA4,ULTRAPAR PARTICIPAÇÕES SA
967,UNIP3,UNIPAR PARTICIPAÇÕES S.A.
968,UNIP5,UNIPAR PARTICIPAÇÕES S.A.
969,UNIP6,UNIPAR PARTICIPAÇÕES S.A.
970,UOLL4,UOL
971,USIM3,USIMINAS
972,USIM5,USIMINAS
973,USIM6,USIMINAS
974,VAGR3,TERRA SANTA
975,VAGV3,SAVIRG
976,VAGV4,SAVIRG
977,VALE3,VALE
978,VALE5,VALE
979,VAMO3,VAMOS
980,VBBR3,VIBRA
981,VCPA4,Fibria
982,VGOR3,VIGOR
983,VGOR4,VIGOR
984,VIGR3,VIGOR FOOD
985,VIIA3,VIA
986,VINE3,VICUNHA TEXTIL SA
987,VINE5,VICUNHA TEXTIL SA
988,VITT3,VITTIA
989,VIVA3,VIVARA S.A.
990,VIVO3,VIVO PARTICIPAÇÕES
991,VIVO4,VIVO PARTICIPAÇÕES
992,VIVR3,VIVER
993,VIVT3,TELEF BRASIL
994,VIVT4,TELEF BRASIL
995,VLID3,VALID
996,VNET3,CIELO
997,VPSC3,VPSC
998,VPSC4,VPSC
999,VPTA3,VPTA
1000,VPTA4,VPTA
1001,VSPT3,FERROVIA CENTRO-ATLÂNTICA S.A.
1002,VSPT4,FERROVIA CENTRO-ATLÂNTICA S.A.
1003,VTLM3,ADVANCED-DH
1004,VULC3,VULCABRAS S/A.
1005,VULC4,VULCABRAS S/A.
1006,VVAR11,VIA
1007,VVAR3,VIA
1008,VVAR4,VIA
1009,VVAX3,VIVAX SA
1010,VVAX4,VIVAX SA
1011,VVEO3,VIVEO
1012,WEGE3,WEG SA
1013,WEGE4,WEG SA
1014,WEST3,WESTWING
1015,WHRL3,WHIRLPOOL S.A.
1016,WHRL4,WHIRLPOOL S.A.
1017,WISA3,WIEST SA
1018,WISA4,WIEST SA
1019,WIZS3,WIZ S.A.
1020,WLMM3,WLM
1021,WLMM4,WLM
1022,WMBY3,WEMBLEY SOCIEDADE ANÔNIMA
1023,WSON33,Wilson Sons
1024,YDUQ3,YDUQS PART
